index,objid,ra,dec
12599,1237663275780342314,0.124005759647588,-1.2590194948899
12664,1237666408442495924,0.197905051072439,0.348810556436162
12745,1237657192515961538,0.360226908147581,1.10169254169448
12747,1237663783660683568,0.36029133402457,-0.314587795112311
12801,1237663783660617994,0.244288336729229,-0.332028699293373
12808,1237663783660618260,0.244400605958289,-0.31197063721131
12830,1237663783660618666,0.244690591076209,-0.314619510113367
12877,1237663783660618265,0.245526868712664,-0.30327622113463
12880,1237663784197489281,0.245546143825667,0.126029227425808
12887,1237663783123747071,0.245798006578452,-0.658001456662293
12902,1237663278464762724,0.366617949928042,0.888594322916267
12904,1237657191979091113,0.366637994169992,0.769616031570274
12953,1237663275780342393,0.166730593810598,-1.18297922095553
12977,1237657189831541604,0.167071748958506,-1.00421211326254
13120,1237657189831606461,0.381687141646523,-0.983955572388456
13150,1237657190368477559,0.271313767978484,-0.460943878341888
13162,1237663278464763174,0.271491784204983,0.892554905577269
13200,1237663277927891395,0.272140228841181,0.563515439374476
13298,1237657191979090595,0.330701890237378,0.78797286052645
13365,1237663277927891938,0.248473289446423,0.610106682275479
13418,1237663275780407770,0.249492027254973,-1.04823421584535
13474,1237657190368543483,0.393574832860168,-0.557281741379646
13563,1237657190368478142,0.256642560242199,-0.560606779307546
13591,1237657190368478143,0.257250042651947,-0.584758329167169
13592,1237663783660618681,0.257269120204144,-0.415106368810453
13628,1237663784197555239,0.396175017010696,0.0667394878899848
13654,1237663784197554919,0.396685156753477,0.0713843288402454
13705,1237663277927891408,0.276199087863574,0.564759120375499
