objid,bands,pid1,pid2
1237665373870096658,i,1237665373870096658,1237665373870096658
1237665372796420449,ri,1237665372796420568,1237665372796420451
1237665536004522184,gr,1237665536004522184,1237665536004522183
1237665372796354857,i,1237665372796354857,1237665372796354858
1237665372796289066,g,1237665372796289066,1237665372796289066
1237665536004391050,g,1237665536004391050,1237665536004391050
1237665536004456682,i,1237665536004456682,1237665536004456682
1237665373333094616,g,1237665373333094616,1237665373333094617
1237665536004391281,gri,1237665536004391285,1237665536004391281
1237665373333029207,g,1237665373333029207,1237665373333029207
1237665372796354830,ug,1237665372796354830,1237665372796354830
1237665372796223839,gri,1237665372796223839,1237665372796223840
1237667783905968257,ri,1237667783905968257,1237667783905968257
1237667910053724287,i,1237667910053724287,1237667910053724287
1237667910590595262,i,1237667910590596095,1237667910590596095
1237667910590398636,ri,1237667910590398636,1237667910590398636
